"id","name","terminalName","lastCommWithServer","lat","long","installed","locked","installDate","temporary","public","nbBikes","nbEmptyDocks","latestUpdateTime"
"165","Virginia Square Metro / N Monroe St & 9th St N","31024","1518380909224","38.882788","-77.103148","true","false","0","false","true","13","6","1518378153443"
"166","Central Library / N Quincy St & 10th St N","31025","1518380922084","38.88397","-77.10783","true","false","0","false","true","8","3","1518380562582"
"167","Washington Blvd & 10th St N","31026","1518380850124","38.884734","-77.093485","true","false","0","false","true","5","10","1518372338253"
"168","Jefferson Dr & 14th St SW","31247","1518380915130","38.888553","-77.032429","true","false","0","false","true","2","21","1518380913983"
"169","Smithsonian-National Mall / Jefferson Dr & 12th St SW","31248","1518380880060","38.888767","-77.02858","true","false","0","false","true","5","30","1518380397341"
"170","George Mason Dr & Wilson Blvd","31036","1518380847790","38.87887","-77.1207","true","false","0","false","true","6","8","1518380487550"
"171","6th St & Indiana Ave NW","31264","1518380882931","38.894573","-77.01994","true","false","0","false","true","12","7","1518380710786"
"172","N Veitch & Key Blvd","31028","1518380863810","38.893241","-77.086045","true","false","0","false","true","5","6","1518380623486"
"173","Lee Hwy & N Adams St","31030","1518380852003","38.89593","-77.089006","true","false","0","false","true","11","8","1518379173280"
"174","15th & N Scott St","31031","1518380885898","38.89054","-77.08095","true","false","0","false","true","4","7","1518379875254"
"175","Washington Blvd & 7th St N","31032","1518380866547","38.880834","-77.091129","true","false","0","false","true","5","6","1518374278203"
"176","Ballston Metro / N Stuart & 9th St N","31037","1518380853768","38.881044","-77.111768","true","false","0","false","true","9","14","1518379075767"
"177","N Randolph St & Fairfax Dr","31034","1518380897446","38.882629","-77.109366","true","false","0","false","true","6","5","1518342706425"
"178","Jefferson Memorial","31249","1518380920642","38.879819","-77.037413","true","false","0","false","true","8","15","1518380146223"
"179","Good Hope Rd & 14th St SE","31803","1518380865743","38.866611","-76.985238","true","false","0","false","true","6","9","1518341752397"
"180","Glebe Rd & 11th St N","31038","1518380815383","38.883921","-77.116817","true","false","0","false","true","8","3","1518372345080"
"181","Wilson Blvd & N Quincy St","31039","1518380854206","38.880012","-77.107854","true","false","0","false","true","5","10","1518378258948"
"182","Fairfax Dr & Kenmore St","31040","1518380875252","38.884616","-77.10108","true","false","0","false","true","1","10","1518380278954"
"183","Gallaudet / 8th St & Florida Ave NE","31508","1518380834973","38.90509","-76.9941","true","false","0","false","true","7","11","1518374826450"
"185","20th & L St NW","31250","1518380885923","38.903584","-77.044789","true","false","0","false","true","8","11","1518380046013"
"186","12th & L St NW","31251","1518380845952","38.903819","-77.0284","true","false","0","false","true","1","18","1518377956274"
"187","21st St & Pennsylvania Ave NW","31252","1518380828683","38.901539","-77.046564","true","false","0","false","true","7","12","1518380225121"
"188","19th & K St NW","31253","1518380819977","38.902204","-77.04337","true","false","0","false","true","10","13","1518367827399"
"189","Prince St & Union St","31041","1518380850235","38.803124","-77.040363","true","false","0","false","true","6","13","1518356781674"
"190","Market Square / King St & Royal St","31042","1518380837780","38.804718","-77.043363","true","false","0","false","true","3","12","1518342144514"
"191","Saint Asaph St & Pendleton  St","31043","1518380850235","38.810743","-77.044664","true","false","0","false","true","10","5","1518342092865"
"192","King St & Patrick St","31044","1518380832548","38.805317","-77.049883","true","false","0","false","true","9","6","1518342127184"
"193","15th & K St NW","31254","1518380891344","38.902","-77.03353","true","false","0","false","true","6","21","1518374412260"
"194","Commerce St & Fayette St","31045","1518380896186","38.805648","-77.05293","true","false","0","false","true","8","6","1518378537384"
"195","Henry St & Pendleton St","31046","1518380912003","38.811456","-77.050276","true","false","0","false","true","5","12","1518364615099"
"196","Braddock Rd Metro","31047","1518380872435","38.814577","-77.052808","true","false","0","false","true","16","12","1518364367082"
"197","King St Metro South","31048","1518380875759","38.805767","-77.06072","true","false","0","false","true","15","8","1518301266409"
"198","24th & N St NW","31255","1518380838251","38.9066","-77.05152","true","false","0","false","true","2","13","1518378689912"
"199","10th & E St NW","31256","1518380894743","38.895914","-77.026064","true","false","0","false","true","5","10","1518380533248"
"200","22nd & I St NW / Foggy Bottom","31257","1518380842646","38.90088","-77.048911","true","false","0","false","true","6","9","1518380223428"
"201","Utah St & 11th St N ","31049","1518380921338","38.883669","-77.113905","true","false","0","false","true","7","4","1518342155065"
"202","Barton St & 10th St N","31050","1518380896947","38.884961","-77.08777","true","false","0","false","true","6","5","1518372157150"
"203","Arlington Blvd & N Queen St","31051","1518380894050","38.889365","-77.077294","true","false","0","false","true","6","5","1518375687106"
"204","Lincoln Memorial","31258","1518380907064","38.888251","-77.049426","true","false","0","false","true","11","13","1518377030846"
"206","20th St & Virginia Ave NW","31259","1518380828286","38.894722","-77.045128","true","false","0","false","true","8","7","1518379787883"
"207","5th St & Massachusetts Ave NW","31265","1518380831837","38.90093","-77.018677","true","false","0","false","true","0","17","1518380346094"
"208","39th & Veazey St NW","31308","1518380877105","38.943837","-77.077078","true","false","0","false","true","0","14","1518379854369"
"209","Fessenden St & Wisconsin Ave NW","31309","1518380826049","38.954812","-77.082426","true","false","0","false","true","8","7","1518377115562"
"210","3rd & M St NE","31627","1518380869095","38.905469714943266","-77.0021304488182","true","false","0","false","true","9","12","1518379912111"
"211","Columbia Pike & S Courthouse Rd","31053","1518380878994","38.863833","-77.080319","true","false","0","false","true","9","6","1518377477725"
"212","Walter Reed Community Center / Walter Reed Dr & 16th St S","31054","1518380873218","38.857803","-77.086733","true","false","0","false","true","6","5","1518342424245"
"213","28th St S & S Meade St","31055","1518380849339","38.846222","-77.069275","true","false","0","false","true","11","3","1518379297989"
"214","18th St & Wyoming Ave NW","31114","1518380806135","38.918809","-77.041571","true","false","0","false","true","14","9","1518380443847"
"215","5th & Kennedy St NW","31403","1518380836536","38.956555547721955","-77.0198142528534","true","false","0","false","true","9","6","1518378221838"
"216","Georgia Ave & Emerson St NW","31405","1518380877272","38.949662","-77.027333","true","false","0","false","true","5","14","1518377814755"
"217","14th & Upshur St NW","31406","1518380923445","38.942016","-77.032652","true","false","0","false","true","10","9","1518336865815"
"218","14th St & Colorado Ave NW","31407","1518380840305","38.956432","-77.032947","true","false","0","false","true","7","12","1518360400769"
"219","S Troy St & 26th St S","31056","1518380886565","38.847977","-77.075104","true","false","0","false","true","6","5","1518370948792"
"220","S Four Mile Run Dr & S Shirlington Rd","31057","1518380914195","38.8444","-77.085931","true","false","0","false","true","5","6","1518377577186"
"221","S Oakland St & Columbia Pike","31058","1518380890845","38.860789","-77.09586","true","false","0","false","true","5","6","1518342707547"
"222","S Four Mile Run & Walter Reed Dr","31059","1518380836083","38.84736","-77.095431","true","false","0","false","true","6","5","1518379645920"
"223","S Arlington Mill Dr & Campbell Ave","31060","1518380824149","38.84232","-77.089555","true","false","0","false","true","7","8","1518342446255"
"224","S Kenmore & 24th St S","31061","1518380850881","38.848454","-77.084918","true","false","0","false","true","5","6","1518256896657"
"225","13th St & Eastern Ave","32006","1518380886285","38.987","-77.029417","true","false","0","false","true","8","7","1518374828127"
"226","Wisconsin Ave & O St NW","31312","1518380878015","38.90849","-77.063586","true","false","0","false","true","9","10","1518380636633"
"227","S George Mason Dr & 13th St S","31062","1518380853424","38.85651100949728","-77.10024833679199","true","false","0","false","true","3","8","1518280967234"
"228","Connecticut & Nebraska Ave NW","31310","1518380913274","38.955016","-77.069956","true","false","0","false","true","5","18","1518380552280"
"229","17th St & Massachusetts Ave NW","31267","1518380868543","38.908142","-77.038359","true","false","0","false","true","11","8","1518380330847"
"230","15th & Euclid St  NW","31117","1518380810586","38.92333","-77.0352","true","false","0","false","true","7","8","1518379374676"
"231","8th & East Capitol St NE","31629","1518380810818","38.889988","-76.995193","true","false","0","false","true","5","6","1518375788635"
"232","New Jersey Ave & R St NW","31509","1518380888486","38.912659","-77.017669","true","false","0","false","true","7","7","1518379573219"
"233","15th & East Capitol St NE","31630","1518380921633","38.889908","-76.983326","true","false","0","false","true","6","5","1518380921300"
"234","8th & F St NE","31631","1518380848787","38.897274","-76.994749","true","false","0","false","true","6","9","1518380371184"
